BLOCK_HOUR,N_POOLS,TOTAL_LIQUIDITY_USD
2021-05-24T19:00:00Z,206,1145186643.0488555
2021-05-24T18:00:00Z,212,1142400042.8550012
2021-05-24T17:00:00Z,214,1084012696.9276025
2021-05-24T16:00:00Z,198,1095121662.7452526
2021-05-24T15:00:00Z,210,1103961076.4044554
2021-05-24T14:00:00Z,203,1070190003.776435
2021-05-24T13:00:00Z,191,1032142223.7631195
2021-05-24T12:00:00Z,221,1032020228.9404334
2021-05-24T11:00:00Z,202,1030434428.3882393
2021-05-24T10:00:00Z,207,966335290.9750199
2021-05-24T09:00:00Z,191,969576799.7445105
2021-05-24T08:00:00Z,169,963868239.2906226
2021-05-24T07:00:00Z,199,966860786.1513604
2021-05-24T06:00:00Z,193,935713757.5386926
2021-05-24T05:00:00Z,172,904555242.1541035
2021-05-24T04:00:00Z,195,884780967.9775593
2021-05-24T03:00:00Z,183,900491567.4789755
2021-05-24T02:00:00Z,186,833943568.5629804
2021-05-24T01:00:00Z,192,850810548.4341037
2021-05-24T00:00:00Z,200,836446060.870512
2021-05-23T23:00:00Z,197,790451200.8171538
2021-05-23T22:00:00Z,186,793233878.9766518
2021-05-23T21:00:00Z,217,826475819.1992482
2021-05-23T20:00:00Z,208,850839822.7759067
2021-05-23T19:00:00Z,202,762736589.826893
2021-05-23T18:00:00Z,178,733032798.6362084
2021-05-23T17:00:00Z,160,742750131.9932121
2021-05-23T16:00:00Z,148,780740813.8696924
2021-05-23T15:00:00Z,195,769134752.83789
2021-05-23T14:00:00Z,175,768064562.4728785
2021-05-23T13:00:00Z,191,774660137.937797
2021-05-23T12:00:00Z,170,786888974.6689494
2021-05-23T11:00:00Z,203,832058157.7568384
2021-05-23T10:00:00Z,208,788512458.5457083
2021-05-23T09:00:00Z,187,820802123.2190131
2021-05-23T08:00:00Z,180,851452161.280526
2021-05-23T07:00:00Z,193,836371144.0957592
2021-05-23T06:00:00Z,173,814020820.8455745
2021-05-23T05:00:00Z,211,931141586.6354357
2021-05-23T04:00:00Z,159,802948099.9276524
2021-05-23T03:00:00Z,156,851728665.1109985
2021-05-23T02:00:00Z,165,852321342.8880982
2021-05-23T01:00:00Z,165,878966456.8349854
2021-05-23T00:00:00Z,168,818464686.3156825
2021-05-22T23:00:00Z,185,824479929.8665154
2021-05-22T22:00:00Z,180,801636397.988413
2021-05-22T21:00:00Z,190,862213039.4254583
2021-05-22T20:00:00Z,186,808448964.9998
2021-05-22T19:00:00Z,193,887134516.548164
2021-05-22T18:00:00Z,212,849682675.6399587
2021-05-22T17:00:00Z,213,829660158.5533884
2021-05-22T16:00:00Z,196,816839129.626992
2021-05-22T15:00:00Z,192,806653942.7015721
2021-05-22T14:00:00Z,200,861114218.395771
2021-05-22T13:00:00Z,195,840683591.1297244
2021-05-22T12:00:00Z,194,792362281.7198572
2021-05-22T11:00:00Z,191,863259681.1893134
2021-05-22T10:00:00Z,203,896711019.0074229
2021-05-22T09:00:00Z,194,810953842.8743874
2021-05-22T08:00:00Z,188,869919065.390023
2021-05-22T07:00:00Z,191,772960721.713119
2021-05-22T06:00:00Z,171,862273757.3387927
2021-05-22T05:00:00Z,181,868133960.4799864
2021-05-22T04:00:00Z,211,848184009.9759341
2021-05-22T03:00:00Z,173,820965107.0282505
2021-05-22T02:00:00Z,178,825129302.4090055
2021-05-22T01:00:00Z,186,839338654.1182086
2021-05-22T00:00:00Z,181,802140064.838474
2021-05-21T23:00:00Z,192,885364522.2351961
2021-05-21T22:00:00Z,194,826363797.6448089
2021-05-21T21:00:00Z,157,796974998.1241262
2021-05-21T20:00:00Z,177,864405685.9348738
2021-05-21T19:00:00Z,157,878387678.6344972
2021-05-21T18:00:00Z,169,855058664.0970663
2021-05-21T17:00:00Z,179,916384719.3374388
2021-05-21T16:00:00Z,75,673430413.5343925
2021-05-21T15:00:00Z,172,904271843.2654808
2021-05-21T14:00:00Z,180,996956563.0555031
2021-05-21T13:00:00Z,167,975915803.8217106
2021-05-21T12:00:00Z,207,995283043.9542958
2021-05-21T11:00:00Z,179,961138252.2920803
2021-05-21T10:00:00Z,208,985815675.4871762
2021-05-21T09:00:00Z,191,951213633.1653265
2021-05-21T08:00:00Z,201,993896016.5796803
2021-05-21T07:00:00Z,182,907857075.2854859
2021-05-21T06:00:00Z,194,992931413.2796608
2021-05-21T05:00:00Z,198,981940633.9008052
2021-05-21T04:00:00Z,183,940486819.2214104
2021-05-21T03:00:00Z,179,915825914.1429226
2021-05-21T02:00:00Z,195,932092618.4600095
2021-05-21T01:00:00Z,203,933187188.9552579
2021-05-21T00:00:00Z,191,1002358280.5544252
2021-05-20T23:00:00Z,155,880722627.3838457
2021-05-20T22:00:00Z,116,768175463.5890232
2021-05-20T21:00:00Z,119,859422859.2596889
2021-05-20T20:00:00Z,169,923250735.8312685
2021-05-20T19:00:00Z,194,916951295.5631577
2021-05-20T18:00:00Z,189,972168072.5704991
2021-05-20T17:00:00Z,173,957294860.0704465
2021-05-20T16:00:00Z,184,936192077.8682688
2021-05-20T15:00:00Z,200,999006855.4505258
2021-05-20T14:00:00Z,174,977414604.6979687
2021-05-20T13:00:00Z,200,1044837752.5480216
2021-05-20T12:00:00Z,209,992805831.5792044
2021-05-20T11:00:00Z,213,959791248.0384775
2021-05-20T10:00:00Z,196,885112049.4750457
2021-05-20T09:00:00Z,197,851332388.0273358
2021-05-20T08:00:00Z,169,887769482.9206436
2021-05-20T07:00:00Z,211,943590376.2845163
2021-05-20T06:00:00Z,204,898205202.2499163
2021-05-20T05:00:00Z,208,858428894.348101
2021-05-20T04:00:00Z,187,818122980.5457593
2021-05-20T03:00:00Z,187,783255569.8461273
2021-05-20T02:00:00Z,185,772062629.1579446
2021-05-20T01:00:00Z,173,709838057.0252019
2021-05-20T00:00:00Z,158,732325150.1629186
2021-05-19T23:00:00Z,201,787070953.2781608
2021-05-19T22:00:00Z,174,784113092.0908561
2021-05-19T21:00:00Z,187,843691562.3520894
2021-05-19T20:00:00Z,178,802196324.0313228
2021-05-19T19:00:00Z,192,831659772.6531868
2021-05-19T18:00:00Z,182,834519749.5610331
2021-05-19T17:00:00Z,178,863802517.3237002
2021-05-19T16:00:00Z,196,827658286.6030326
2021-05-19T15:00:00Z,178,780497850.6343226
2021-05-19T14:00:00Z,133,704349115.0764122
2021-05-19T13:00:00Z,125,666824479.1863788
2021-05-19T12:00:00Z,173,804313700.0829747
2021-05-19T11:00:00Z,154,814434957.7905532
2021-05-19T10:00:00Z,203,920612484.6356716
2021-05-19T09:00:00Z,184,917370771.8817347
2021-05-19T08:00:00Z,186,898513036.5615077
2021-05-19T07:00:00Z,185,893863236.2290968
2021-05-19T06:00:00Z,187,885446899.7872568
2021-05-19T05:00:00Z,157,879821631.9261651
2021-05-19T04:00:00Z,177,943600615.842764
2021-05-19T03:00:00Z,166,915919187.2917192
2021-05-19T02:00:00Z,191,960223670.9693855
2021-05-19T01:00:00Z,200,993413692.6185923
2021-05-19T00:00:00Z,176,950465047.1169255
2021-05-18T23:00:00Z,195,967177576.8035479
2021-05-18T22:00:00Z,170,965901927.8132079
2021-05-18T21:00:00Z,174,928188957.4266876
2021-05-18T20:00:00Z,181,991921452.3402956
2021-05-18T19:00:00Z,200,970738839.0270206
2021-05-18T18:00:00Z,192,962308837.7185159
2021-05-18T17:00:00Z,178,974330431.0263104
2021-05-18T16:00:00Z,180,979144015.2251627
2021-05-18T15:00:00Z,175,953002050.2097203
2021-05-18T14:00:00Z,204,986494615.554517
2021-05-18T13:00:00Z,183,1000832628.0677054
2021-05-18T12:00:00Z,192,1030845096.5924313
2021-05-18T11:00:00Z,195,1003114446.3977273
2021-05-18T10:00:00Z,198,991868094.2347004
2021-05-18T09:00:00Z,180,988625130.7719084
2021-05-18T08:00:00Z,180,937785146.3601465
2021-05-18T07:00:00Z,190,1038459704.54156
2021-05-18T06:00:00Z,205,1075297657.8709893
2021-05-18T05:00:00Z,200,1034593878.900402
2021-05-18T04:00:00Z,209,1033854200.3908273
2021-05-18T03:00:00Z,203,950448881.9194463
2021-05-18T02:00:00Z,189,902273436.6942643
2021-05-18T01:00:00Z,186,953533067.6442306
2021-05-18T00:00:00Z,208,976431211.2963573
2021-05-17T23:00:00Z,194,936239499.5050871
2021-05-17T22:00:00Z,213,960456991.6677862
2021-05-17T21:00:00Z,188,911427426.8100061
2021-05-17T20:00:00Z,189,953292242.8332919
2021-05-17T19:00:00Z,188,920926740.4144583
2021-05-17T18:00:00Z,177,932021217.8176613
2021-05-17T17:00:00Z,199,932911448.586582
2021-05-17T16:00:00Z,211,944871935.8025544
2021-05-17T15:00:00Z,209,952476029.6663618
2021-05-17T14:00:00Z,75,770956176.5412031
