,POOL_PAIR,FEES_EARNED_USD
0,1INCH-USDC,302512.4782256363
1,1INCH-WETH,54143.97044913889
2,AAVE-WETH,18615.62914171663
3,AKITA-USDT,774.7829818711284
4,AKITA-WETH,523431.86024666607
5,ALEPH-WETH,821.9100215181134
6,ANKR-WETH,8280.44374118756
7,API3-WETH,5953.237507563257
8,BNT-WETH,537.5973321450451
9,BUSD-USDC,35.33563582161539
10,CEL-WETH,248164.5459793238
11,COMP-WETH,112567.34099001618
12,CRO-WETH,3851.1437009141305
13,DAI-MKR,2739.418015740968
14,DAI-MTA,0.0
15,DAI-USDC,540649.07332311
16,DAI-USDT,239958.2363466039
17,DAI-WETH,6419469.145143526
18,DENT-WETH,7877.38838057917
19,DINU-WETH,4335.664504289297
20,DPI-WETH,8222.61219831777
21,DRC-WETH,4547.296790730732
22,ELON-USDT,1246.7587789066836
23,ELON-WETH,264832.19063358114
24,ERN-WETH,3087.9891641957925
25,ETH2x-FLI-WETH,562188.4256384652
26,EVAI-USDT,0.0
27,EWTB-WETH,0.0
28,FEI-USDC,7709631.473693676
29,FEI-USDT,60937.678363180356
30,FLX-WETH,12359.22838146906
31,FORTH-WETH,14829.766030506058
32,FTM-WETH,19764.270007033585
33,GALA-WETH,0.0
34,GERO-WETH,27834.753965491927
35,GTON-USDC,18.58438930384112
36,HEGIC-WETH,23756.03239995344
37,HEX-USDC,163817.3731626453
38,HEX-WETH,21039.111906525803
39,HOT-WETH,0.0
40,ICHI-USDC,1309.6916047203201
41,IGG-WETH,616.0429273203384
42,KYL-WETH,5436.119013003336
43,LCX-WETH,7054.123041658859
44,LEASH-SHIB,445104.6774899402
45,LEASH-WETH,699109.3256695318
46,LINK-USDC,0.8203265601280356
47,LINK-WETH,1477374.9624190363
48,LPT-WETH,9964.586330302365
49,LQTY-WETH,102009.59295217835
50,LUSD-DAI,23641.238226006564
51,LUSD-WETH,29725.1293746843
52,LYXe-WETH,19021.9359159807
53,MANA-WETH,7272.30204667963
54,MATIC-USDT,105.73780123992294
55,MATIC-WETH,890558.7338760492
56,MIR-WBTC,1699.6353878013986
57,MKR-WETH,277504.31234898313
58,NEXO-WETH,395.43521874510697
59,OCC-USDC,70446.11486780155
60,OIL-USDC,458.32548785939
61,OVR-WETH,17186.427258526124
62,PERP-WETH,347.8494076600844
63,POLS-WETH,9325.345143896478
64,POND-WETH,143.15368404747755
65,PPAY-WETH,2630.8624507403324
66,PRQ-WETH,12700.021328039269
67,PSWAP-WETH,451322.7434183546
68,QNT-WETH,23960.068252036835
69,QTF-USDC,467.0720233502334
70,QUICK-WETH,136642.96664686815
71,RAI-DAI,28294.1856407286
72,RAI-WETH,16939.058639712817
73,RAZOR-WETH,4755.307345314474
74,REN-WETH,28365.785750823365
75,RSR-WETH,45742.34738181367
76,RUNE-WETH,154383.6817451174
77,RUSD-USDT,0.0
78,RVP-WETH,231930.90459804024
79,SACKS-WETH,2265.2040674411674
80,SAND-WETH,1277.8056779073872
81,SCOIN-USDT,0.0
82,SEEDS-WETH,0.0
83,SHIB-WETH,34038424.529158205
84,SNX-WETH,22412.886006408313
85,SOCKS-WETH,7546.6305931256065
86,STAKE-WETH,0.27020376861506684
87,STC-WETH,236.64476758197551
88,STMX-WETH,4437.570916553954
89,SUSHI-WETH,44969.66507630764
90,SXHC-WETH,0.0
91,TLOS-WETH,21862.532607553087
92,TRB-USDT,2173.261485306806
93,UBT-WETH,13049.578505919519
94,UNI-USDC,9185.248190271068
95,UNI-USDT,5994.312236436084
96,UNI-WETH,3203465.08024576
97,UOS-USDT,997.0075006383812
98,USDC-GTC,172.6717586385122
99,USDC-USDT,877419.8073868725
100,USDC-WETH,65752107.57420677
101,UST-USDT,18386.571351243212
102,VSP-WETH,4889.4547567048585
103,VXV-WETH,10834.342048684419
104,WBTC-USDC,1153850.122773459
105,WBTC-USDT,44894.73658637636
106,WBTC-WETH,14034366.110055894
107,WBTC-renBTC,1466.3765047850384
108,WETH-$DG,265.6304537716078
109,WETH-AMP,4634.757730208765
110,WETH-ATRI,1952.24340273101
111,WETH-BEPRO,4039.51252077523
112,WETH-BONDLY,8798.80868053427
113,WETH-C3,2292.520879387046
114,WETH-CONV,0.0
115,WETH-CRV,569509.5828857813
116,WETH-DAM,84.95055762815416
117,WETH-DFND,1951.6191481324224
118,WETH-DIP,212.80218975644348
119,WETH-EMB,48.58457919573443
120,WETH-ENJ,16829.50082660876
121,WETH-GTC,842613.9000570193
122,WETH-ID,1837.991480055664
123,WETH-KICK,6538.632976222913
124,WETH-MFT,389.63467444928216
125,WETH-RARI,11934.350588444582
126,WETH-ROOK,912.9606458755027
127,WETH-STAR,571.4113197346096
128,WETH-SUPER,3540.3568806966796
129,WETH-TRIBE,1751043.776953905
130,WETH-TRU,2086885.3018750176
131,WETH-UBI,19.920411314452473
132,WETH-UOS,10963.283229204018
133,WETH-USDT,43102026.9769113
134,WETH-VNTW,13.469798668835047
135,WETH-VRA,42599.02209779114
136,WETH-renBTC,2863.8172795076
137,WILD-WETH,0.0
138,WOO-WETH,9216.859077692554
139,XRT-WETH,857.7014608671319
140,XYO-WETH,1640.358633084944
141,YFI-WETH,43729.22029635113
142,eMax-WETH,0.0
143,٨-WETH,70.93878248416043
144,⚗️-WETH,9931.362366051182
